title,author,Bookdepository
One Hundred Years of Solitude,abriel Garcia Marquez,1
The Stranger,Albert Camus,1
The Fairy Tales of Charles Perrault,Angela Carter,1
The Magic Toyshop,Angela Carter,1
Bel Canto,Ann Patchett,1
The Diary of a Young Girl: Definitive Edition,Anne Frank,1
The Little Prince,Antoine de Saint-Exupery,1
Stories,Anton Pavlovich Chekhov,1
The Complete Maus,Art Spiegelman,1
A Distant Mirror,Barbara W. Tuchman,1
Ethics,Benedict de Spinoza,1
Man & His Symbols,C Jung,1
On the Origin of Species,Charles Darwin,1
Our Mutual Friend,Charles Dickens,1
Goodbye to Berlin,Christopher Isherwood,1
Robinson Crusoe,Daniel Defoe,1
The Secret History,Donna Tartt,1
Orientalism,Edward W. Said,1
Therese Raquin,Emile Zola,1
Wuthering Heights,Emily Bronte,1
All Quiet on the Western Front,Erich Maria Remarque,1
Fiesta,Ernest Hemingway,1
Tender is the Night,F. Scott Fitzgerald,1
Metamorphosis,Franz Kafka,1
The Idiot,Fyodor Dostoyevsky,1
Middlemarch,George Eliot,1
Homage to Catalonia,George Orwell,1
The Story of the Eye,Georges Bataille,1
Madame Bovary,Gustave Flaubert,1
Eichmann in Jerusalem,Hannah Arendt,1
The Wind-up Bird Chronicle,Haruki Murakami,1
Walden,Henry David Thoreau,1
Moby Dick,Herman Melville,1
The Iliad,Homer,1
Lost Illusions,Honore de Balzac,1
Franny and Zooey,J. D. Salinger,1
Faust: Part 1,J. W. Von Goethe,1
The Call of the Wild,Jack London,1
Let Us Now Praise Famous Men,James Agee,1
Another Country,James Baldwin,1
A Portrait of the Artist as a Young Man,James Joyce,1
Pride and Prejudice,Jane Austen,1
The Good Soldier Svejk,Jaroslav Hasek,1
A Prayer for Owen Meany,John Irving,1
A Confederacy of Dunces,John Kennedy Toole,1
The Affluent Society,John Kenneth Galbraith,1
The Grapes of Wrath,John Steinbeck,1
Heart of Darkness,Joseph Conrad,1
Catch-22,Joseph Heller,1
The Grundrisse,Karl Marx,1
The Remains of the Day,Kazuo Ishiguro,1
One Flew Over the Cuckoo's Nest,Ken Kesey,1
Slaughterhouse,Kurt Vonnegut,1
Resurrection,Leo Tolstoy,1
Alice's Adventures in Wonderland and Through the Looking Glass,Lewis Carroll,1
Journey to the End of the Night,Louis-Ferdinand Celine,1
Money,Martin Amis,1
Frankenstein,Mary Wollstonecraft Shelley,1
I Know Why the Caged Bird Sings,Maya Angelou,1
The English Patient,Michael Ondaatje,1
Don Quixote,Miguel de Cervantes,1
The Prince,Niccolo Machiavelli,1
The Naked and the Dead,Norman Mailer,1
The Picture of Dorian Gray,Oscar Wilde,1
"Carry on,  Jeeves",P. G. Wodehouse,1
The Man in the High Castle,Philip K. Dick,1
Grimm Tales,Philip Pullman,1
Northern Lights,Philip Pullman,1
Portnoy's Complaint,Philip Roth,1
Republic,Plato,1
Silent Spring,Rachel Carson,1
Fahrenheit 451,Ray Bradbury,1
The Long Good-bye,Raymond Chandler,1
Black Lamb and Grey Falcon,Rebecca West,1
The Wonderful Story of Henry Sugar and Six More,Roald Dahl,1
The Path To Power: v. 1,Robert A. Caro,1
"I,  Claudius",Robert Graves,1
The Shock of the New,Robert Hughes,1
A Fine Balance,Rohinton Mistry,1
Midnight's Children,Salman Rushdie,1
Watt,Samuel Beckett,1
The Unconscious,Sigmund Freud,1
The Red and the Black,Stendhal,1
A Brief History Of Time,Stephen Hawking,1
It,Stephen King,1
The Art of War,Sun Tzu,1
Leviathan,Thomas Hobbes,1
Beloved,Toni Morrison,1
Breakfast at Tiffany's,Truman Capote,1
The Earthsea: The First Four Books,Ursula K. Le Guin,1
Les Miserables,Victor Hugo,1
A Suitable Boy,Vikram Seth,1
A Room of One's Own,Virginia Woolf,1
Lolita,Vladimir Nabokov,1
"Candide,  or Optimism",Voltaire,1
Sophie's Choice,William Styron,1
