title,author,guardian
Brave New World,Aldous Huxley,1
Gentlemen Prefer Blondes,Anita Loos,1
Breathing Lessons,Anne Tyler,1
A Clockwork Orange,Anthony Burgess,1
The Way We Live Now,Anthony Trollope,1
The Sign of Four,Arthur Conan Doyle,1
Sybil,Benjamin Disraeli,1
Dracula,Bram Stoker,1
David Copperfield,Charles Dickens,1
Jane Eyre,Charlotte Brontë,1
A Single Man,Christopher Isherwood,1
Robinson Crusoe,Daniel Defoe,1
The Maltese Falcon,Dashiell Hammett,1
The Rainbow,DH Lawrence,1
Underworld,Don DeLillo,1
The Golden Notebook,Doris Lessing,1
The Narrative of Arthur Gordon Pym of Nantucket,Edgar Allan Poe,1
The Age of Innocence,Edith Wharton,1
The Heat of the Day,Elizabeth Bowen,1
Mrs Palfrey at the Claremont,Elizabeth Taylor,1
A Passage to India,EM Forster,1
Wuthering Heights,Emily Brontë,1
The Sun Also Rises,Ernest Hemingway,1
Scoop,Evelyn Waugh,1
The Great Gatsby,F Scott Fitzgerald,1
At Swim-Two-Birds,Flann O’Brien,1
The Good Soldier,Ford Madox Ford,1
Hadrian the Seventh,Frederick Rolfe,1
Middlemarch,George Eliot,1
New Grub Street,George Gissing,1
Nineteen Eighty-Four,George Orwell,1
The End of the Affair,Graham Greene,1
To Kill a Mockingbird,Harper Lee,1
Tom Jones,Henry Fielding,1
Party Going,Henry Green,1
The Golden Bowl,Henry James,1
Tropic of Cancer,Henry Miller,1
Moby-Dick,Herman Melville,1
The History of Mr Polly,HG Wells,1
On the Road,Jack Kerouac,1
The Call of the Wild,Jack London,1
Ulysses,James Joyce,1
Emma,Jane Austen,1
The Catcher in the Rye,JD Salinger,1
Three Men in a Boat,Jerome K Jerome,1
Disgrace,JM Coetzee,1
The Thirty-Nine Steps,John Buchan,1
The Pilgrim’s Progress,John Bunyan,1
Nineteen Nineteen,John Dos Passos,1
Amongst Women,John McGahern,1
The Grapes of Wrath,John Steinbeck,1
Rabbit Redux,John Updike,1
Gulliver’s Travels by Jonathan Swift (1726)4. Clarissa,Jonathan Swift,1
Heart of Darkness,Joseph Conrad,1
Catch-22,Joseph Heller,1
An Artist of the Floating World,Kazuo Ishiguro,1
The Wind in the Willows,Kenneth Grahame,1
"The Life and Opinions of Tristram Shandy, Gentleman",Laurence Sterne,1
Alice’s Adventures in Wonderland,Lewis Carroll,1
Little Women,Louisa May Alcott,1
Under the Volcano,Malcolm Lowry,1
Housekeeping,Marilynne Robinson,1
The Adventures of Huckleberry Finn,Mark Twain,1
Money: A Suicide Note,Martin Amis,1
Frankenstein,Mary Shelley,1
Zuleika Dobson,Max Beerbohm,1
The Prime of Miss Jean Brodie,Muriel Spark,1
The Scarlet Letter,Nathaniel Hawthorne,1
The Picture of Dorian Gray,Oscar Wilde,1
Voss,Patrick White,1
The Beginning of Spring,Penelope Fitzgerald,1
True History of the Kelly Gang,Peter Carey,1
Joy in the Morning,PG Wodehouse,1
Portnoy’s Complaint,Philip Roth,1
The Big Sleep,Raymond Chandler,1
Kidnapped,Robert Louis Stevenson,1
All the King’s Men,Robert Penn Warren,1
Kim,Rudyard Kipling,1
Midnight’s Children,Salman Rushdie,1
Murphy,Samuel Beckett,1
Clarissa,Samuel Richardson,1
The Adventures of Augie March,Saul Bellow,1
Babbitt,Sinclair Lewis,1
Cold Comfort Farm,Stella Gibbons,1
The Red Badge of Courage,Stephen Crane,1
The Bell Jar,Sylvia Plath,1
Lolly Willowes,Sylvia Townsend Warner,1
Sister Carrie,Theodore Dreiser,1
Jude the Obscure,Thomas Hardy,1
Nightmare Abbey,Thomas Love Peacock,1
Song of Solomon,Toni Morrison,1
In Cold Blood,Truman Capote,1
Mrs Dalloway,Virginia Woolf,1
Lolita,Vladimir Nabokov,1
A Bend in the River,VS Naipaul,1
Of Human Bondage,W Somerset Maugham,1
The Moonstone,Wilkie Collins,1
As I Lay Dying,William Faulkner,1
Lord of the Flies,William Golding,1
Vanity Fair,William Thackeray,1
