title,author,goodreads
Cutting For Stone,Abraham Verghese,1
And Then There Were None,Agatha Christie,1
Brave New World,Aldous Huxley,1
The Count of Monte Cristo,Alexandre Dumas,1
The Color Purple,Alice Walker,1
The Diary of Anne Frank,Anne Frank,1
The Little Prince,Antoine de Saint-Exupéry,1
The Adventures of Sherlock Holmes (#3),Arthur Conan Doyle,1
Memoirs of a Geisha,Arthur Golden,1
The Time Traveler's Wife,Audrey Niffenegger,1
The Poisonwood Bible: A Novel,Barbara Kingsolver,1
A Tree Grows in Brooklyn,Betty Smith,1
Dracula,Bram Stoker,1
"The Lion, the Witch, and the Wadrobe",C.S. Lewis,1
The Chronicles of Narnia,C.S. Lewis,1
A Tale of Two Cities,Charles Dickens,1
A Christmas Carol,Charles Dickens,1
Great Expectations,Charles Dickens,1
Jane Eyre,Charlotte Bronte,1
The Thorn Birds,Colleen McCullough,1
The Road,Cormac McCarthy,1
Rebecca,Daphne du Maurier,1
Outlander,Diana Gabaldon,1
The Hitchhikers Guide to the Galaxy,Douglas Adams,1
Charlotte's Web,E.B. White,1
The Raven,Edgar Allan Poe,1
Night,Elie Wiesel,1
Wuthering Heights,Emily Bronte,1
The Old Man and the Sea,Ernest Hemingway,1
The Great Gatsby,F. Scott Fitzgerald,1
The Secret Garden,Frances Hodgson Burnett,1
Crime and Punishment,Fyodor Dostoyevsky,1
The Brothers Karamazov,Fyodor Dostoyevsky,1
One Hundred Years of Solitude,Gabriel Garcí­a Márquez,1
1984,George Orwell,1
Animal Farm,George Orwell,1
A Game of Thrones,George R.R. Martin,1
To Kill a Mockingbird,Harper Lee,1
The Story of My Life,Helen Keller,1
Siddhartha,Hermann Hesse,1
The Odyssey,Homer,1
The Catcher in the Rye,J.D. Salinger,1
Harry Potter and the Sorcerer's Stone,J.K. Rowling,1
Harry Potter and the Deathly Hallows,J.K. Rowling,1
Harry Potter and the Prisoner of Azkaban,J.K. Rowling,1
Harry Potter and the Half-Blood Prince,J.K. Rowling,1
The Lord of the Rings (1-3),J.R.R. Tolkien,1
The Hobbit,J.R.R. Tolkien,1
Pride and Prejudice,Jane Austen,1
The Glass Castle,Jeannette Walls,1
The Fault in Our Stars,John Green,1
A Prayer for Owen Meany,John Irving,1
The Grapes of Wrath,John Steinbeck,1
Of Mice and Men,John Steinbeck,1
East of Eden,John Steinbeck,1
Catch-22,Joseph Heller,1
The Help,Kathryn Stockett,1
The Pillars of the Earth,Ken Follett,1
The Kite Runner,Khaled Hosseini,1
The Holy Bible:,King James,1
Slaughterhouse-Five,Kurt Vonnegut,1
Anne of Green Gables,L.M. Montgomery,1
Anna Karenina,Leo Tolstoy,1
Alice in Wonderland,Lewis Carroll,1
The Giver,Lois Lowry,1
Little Women,Louisa May Alcott,1
A Wrinkle in Time,Madeleine L'Engle,1
The Handmaid's Tale,Margaret Atwood,1
Gone with the Wind,Margaret Mitchell,1
The Adventures of Huckleberry Finn,Mark Twain,1
The Adventures of Tom Sawyer,Mark Twain,1
The Book Thief,Markus Zusak,1
Frankenstein,Mary Shelley,1
The Scarlet Letter,Nathaniel Hawthorne,1
The Phantom Tollbooth,Norton Juster,1
Enders Game,Orson Scott Card,1
The Good Earth (House of Earth #1),Pearl S. Buck,1
Fahrenheit 451,Ray Bradbury,1
The Immortal Life of Henrietta Lacks,Rebecca Skloot,1
Watership Down,Richard Adams,1
Charlie and the Chocolate Factory,Roald Dahl,1
Water for Elephants,Sara Gruen,1
Where the Sidewalk Ends,Shel Silverstein,1
Celebrating Silence: Excerpts from Five Years of Weekly Knowledge,Sri Sri Ravi Shankar,1
The Stand,Stephen King,1
The Girl with a Dragon Tattoo,Stieg Larrson,1
The Secret Life of Bees,Sue Monk Kidd,1
The Hunger Games,Suzanne Collins,1
Catching Fire,Suzanne Collins,1
Mockingjay (Hunger Games #3),Suzanne Collins,1
The Things They Carried,Tim O'Brien,1
Beloved,Toni Morrison,1
In Cold Blood,Truman Capote,1
Les Misérables,Victor Hugo,1
The Lord of the Flies,William Golding,1
The Princess Bride,William Goldman,1
Hamlet,William Shakespeare,1
Romeo and Juliet,William Shakespeare,1
Macbeth,William Shakespeare,1
Life of Pi,Yann Martel,1
