title,author,Times all-time 100 novels
Possession: A Romance,A. S. Byatt,1
Watchmen,Alan Moore,1
A Clockwork Orange,Anthony Burgess,1
"A Dance to the Music of Time: Fourth Movement, Winter",Anthony Powell,1
The Assistant,Bernard Malamud,1
"The Lion, the Witch and the Wardrobe",C. S. Lewis,1
The Heart Is a Lonely Hunter,Carson McCullers,1
Things Fall Apart,Chinua Achebe,1
The Man Who Loved Children,Christina Stead,1
The Berlin Stories,Christopher Isherwood,1
Blood Meridian or the Evening Redness in the West,Cormac McCarthy,1
Red Harvest,Dashiell Hammett,1
Infinite Jest,David Foster Wallace,1
White Noise,Don DeLillo,1
The Golden Notebook,Doris Lessing,1
Ragtime,E. L. Doctorow,1
A Passage to India,E. M. Forster,1
The Death of the Heart,Elizabeth Bowen,1
The Sun Also Rises,Ernest Hemingway,1
Brideshead Revisited,Evelyn Waugh,1
A Handful of Dust,Evelyn Waugh,1
The Great Gatsby,F. Scott Fitzgerald,1
At Swim-Two-Birds,Flann O'Brien,1
1984,George Orwell,1
Animal Farm,George Orwell,1
The Heart of the Matter,Graham Greene,1
The Power and the Glory,Graham Greene,1
To Kill a Mockingbird,Harper Lee,1
Loving,Henry Green,1
Tropic of Cancer,Henry Miller,1
Call it Sleep,Henry Roth,1
Atonement,Ian McEwan,1
Under the Net,Iris Murdoch,1
The Catcher in the Rye,J. D. Salinger,1
The Lord of the Rings,J. R. R. Tolkien,1
On the Road,Jack Kerouac,1
A Death in the Family,James Agee,1
Go Tell It on the Mountain,James Baldwin,1
Deliverance,James Dickey,1
Wide Sargasso Sea,Jean Rhys,1
The Painted Bird,Jerzy Kosiński,1
Play it as it Lays,Joan Didion,1
The Sot-Weed Factor,John Barth,1
Falconer,John Cheever,1
The French Lieutenant's Woman,John Fowles,1
The Spy Who Came in From the Cold,John Le Carré,1
Appointment in Samarra,John O'Hara,1
The Grapes of Wrath,John Steinbeck,1
"Rabbit, Run",John Updike,1
The Corrections,Jonathan Franzen,1
Catch-22,Joseph Heller,1
"Are You There God? It's Me, Margaret",Judy Blume,1
Never Let Me Go,Kazuo Ishiguro,1
One Flew Over the Cuckoo's Nest,Ken Kesey,1
Lucky Jim,Kingsley Amis,1
Slaughterhouse-Five,Kurt Vonnegut,1
Under the Volcano,Malcolm Lowry,1
The Blind Assassin,Margaret Atwood,1
Gone With the Wind,Margaret Mitchell,1
Housekeeping,Marilynne Robinson,1
Money,Martin Amis,1
The Prime of Miss Jean Brodie,Muriel Spark,1
The Day of the Locust,Nathanael West,1
Snow Crash,Neal Stephenson,1
The Sheltering Sky,Paul Bowles,1
Ubik,Philip K. Dick,1
American Pastoral,Philip Roth,1
Portnoy's Complaint,Philip Roth,1
Invisible Man,Ralph Ellison,1
The Big Sleep,Raymond Chandler,1
The Sportswriter,Richard Ford,1
Native Son,Richard Wright,1
Revolutionary Road,Richard Yates,1
"I, Claudius",Robert Graves,1
All the King's Men,Robert Penn Warren,1
Dog Soldiers,Robert Stone,1
Midnight's Children,Salman Rushdie,1
The Adventures of Augie March,Saul Bellow,1
Herzog,Saul Bellow,1
An American Tragedy,Theodore Dreiser,1
The Crying of Lot 49,Thomas Pynchon,1
Gravity's Rainbow,Thomas Pynchon,1
The Bridge of San Luis Rey,Thornton Wilder,1
Beloved,Toni Morrison,1
A House for Mr. Biswas,V. S. Naipaul,1
Mrs. Dalloway,Virginia Woolf,1
To the Lighthouse,Virginia Woolf,1
Lolita,Vladimir Nabokov,1
Pale Fire,Vladimir Nabokov,1
The Moviegoer,Walker Percy,1
Death Comes for the Archbishop,Willa Cather,1
Light in August,William Faulkner,1
The Sound and the Fury,William Faulkner,1
The Recognitions,William Gaddis,1
Neuromancer,William Gibson,1
Lord of the Flies,William Golding,1
Naked Lunch,William S. Burroughs,1
The Confessions of Nat Turner,William Styron,1
White Teeth,Zadie Smith,1
Their Eyes Were Watching God,Zora Neale Hurston,1
