title ,author,rank
Oresteia,Aeschylus,1
The Stranger,Albert Camus,1
Brave New World,Aldous Huxley,1
The Stories of Anton Chekhov,Anton Chekhov,1
Great Expectations,Charles Dickens,1
David Copperfield,Charles Dickens,1
Jane Eyre,Charlotte BrontÃ«,1
Things Fall Apart,Chinua Achebe,1
Sons and Lovers,D. H. Lawrence,1
Robinson Crusoe,Daniel Defoe,1
The Divine Comedy,Dante Alighieri,1
A Passage to India,E.M. Forster,1
The Complete Tales and Poems of Edgar Allan Poe,Edgar Allan Poe,1
Wuthering Heights,Emily BrontÃ«,1
Poems of Emily Dickinson,Emily Dickinson,1
The Sun Also Rises,Ernest Hemingway,1
The Old Man and the Sea,Ernest Hemingway,1
A Farewell to Arms,Ernest Hemingway,1
For Whom the Bell Tolls,Ernest Hemingway,1
The Great Gatsby,F. Scott Fitzgerald,1
Gargantua and Pantagruel,Francois Rabelais,1
The Trial,Franz Kafka,1
The Complete Stories of Franz Kafka,Franz Kafka,1
The Metamorphosis,Franz Kafka,1
The Castle,Franz Kafka,1
Crime and Punishment,Fyodor Dostoyevsky,1
The Brothers Karamazov,Fyodor Dostoyevsky,1
The Idiot,Fyodor Dostoyevsky,1
The Tin Drum,GÃ¼nter Grass,1
One Hundred Years of Solitude,Gabriel Garcia Marquez,1
The Canterbury Tales,Geoffrey Chaucer,1
Middlemarch,George Eliot,1
Nineteen Eighty Four,George Orwell,1
Animal Farm,George Orwell,1
Decameron,Giovanni Boccaccio,1
Madame Bovary,Gustave Flaubert,1
Fairy Tales and Stories,Hans Christian Anderson,1
To Kill a Mockingbird,Harper Lee,1
A Doll's House,Henrik Ibsen,1
Tom Jones,Henry Fielding,1
The Portrait of a Lady,Henry James,1
Moby Dick,Herman Melville,1
The Odyssey,Homer,1
The Iliad,Homer,1
Cousin Bette,HonorÃ© de Balzac,1
Father Goriot,HonorÃ© de Balzac,1
One Thousand and One Nights,India/Iran/Iraq/Egypt,1
Fathers and Sons,Ivan Turgenev,1
The Catcher in the Rye,J. D. Salinger,1
The Lord of the Rings,J. R. R. Tolkien,1
Ulysses,James Joyce,1
A Portrait of the Artist as a Young Man,James Joyce,1
Pride and Prejudice,Jane Austen,1
Emma,Jane Austen,1
Faust,Johann Wolfgang von Goethe,1
Paradise Lost,John Milton,1
The Grapes of Wrath,John Steinbeck,1
Gulliver's Travels,Jonathan Swift,1
Collected Fiction,Jorge Luis Borges,1
Heart of Darkness,Joseph Conrad,1
Catch-22,Joseph Heller,1
Tristram Shandy,Laurence Sterne,1
War and Peace,Leo Tolstoy,1
Anna Karenina,Leo Tolstoy,1
Alice's Adventures in Wonderland,Lewis Carroll,1
Journey to the End of The Night,Louis-Ferdinand CÃ©line,1
Under the Volcano,Malcolm Lowry,1
In Search of Lost Time,Marcel Proust,1
e Adventures of Huckleberry Finn,Mark Twain,1
Frankenstein,Mary Shelley,1
Don Quixote,Miguel de Cervantes,1
The Tale of Genji,Murasaki Shikibu,1
The Scarlet Letter,Nathaniel Hawthorne,1
Dead Souls,Nikolai Gogol,1
Metamorphoses,Ovid,1
Invisible Man,Ralph Ellison,1
Midnight's Children,Salman Rushdie,1
Waiting for Godot,Samuel Beckett,1
Oedipus the King,Sophocles,1
Antigone,Sophocles,1
Oedipus at Colonus,Sophocles,1
The Red and the Black,Stendhal,1
The Magic Mountain,Thomas Mann,1
Buddenbrooks,Thomas Mann,1
Beloved,Toni Morrison,1
Les MisÃ©rables,Victor Hugo,1
The Aeneid,Virgil,1
To the Lighthouse,Virginia Woolf,1
Mrs. Dalloway,Virginia Woolf,1
Lolita,Vladimir Nabokov,1
Pale Fire,Vladimir Nabokov,1
Candide,Voltaire,1
Collected Poems of W. B. Yeats,W. B. Yeats,1
Leaves of Grass,Walt Whitman,1
The Sound and the Fury,William Faulkner,1
"Absalom, Absalom!",William Faulkner,1
As I Lay Dying,William Faulkner,1
Lord of the Flies,William Golding,1
Vanity Fair,William Makepeace Thackeray,1
Hamlet,William Shakespeare,1
