title,author,bookriot
Roots,Alex Haley,1
The Color Purple,Alice Walker,1
The Joy Luck Club,Amy Tan,1
The Fountainhead,Ayn Rand,1
Airships,Barry Hannah,1
The Magic Barrel,Bernard Malamud,1
A Tree Grows in Brooklyn,Betty Smith,1
The Magnificent Ambersons,Booth Tarkington,1
The Heart is a Lonely Hunter,Carson McCullers,1
Home to Harlem,Claude McKay,1
Blood Meridian,Cormac McCarthy,1
The Shawl,Cynthia Ozick,1
The Maltese Falcon,Dashiell Hammett,1
White Noise,Don Delillo,1
Bastard Out of Carolina,Dorothy Allison,1
Ragtime,E.L. Doctorow,1
The House of Mirth,Edith Wharton,1
The Sun Also Rises,Ernest Hemingway,1
The Collected Stories of Eudora Welty,Eudora Welty,1
The Great Gats,F. Scott Fitzgerald,1
The Complete Stories of Flannery O’Connor,Flannery O’Connor,1
Three Lives,Gertrude Stein,1
The Little Disturbances of Man,Grace Paley,1
To Kill a Mockingbird,Harper Lee,1
The Golden Bowl,Henry James,1
The Tropic of Cancer,Henry Miller,1
Call It Sleep,Henry Roth,1
Gimpel the Fool,Isaac Bashevis Singer,1
Mumbo Jumbo,Ishmael Reed,1
The Catcher in the Rye,J.D. Salinger,1
On the Road,Jack Keroauc,1
The Call of the Wild,Jack London,1
Go Tell It On the Mountain,James Baldwin,1
Tales of the South Pacific,James Michener,1
A Sport and a Pastime,James Salter,1
Autobiography of an Ex-Coloured Man,James Weldon Johnson,1
The Collected Stories of Jean Stafford,Jean Stafford,1
Cane,Jean Toomer,1
Play It As It Lays,Joan Didion,1
The Sot-Weed Factor,John Barth,1
The Wapshot Chronicle,John Cheever,1
The USA Trilogy,John Dos Passos,1
The World According to Garp,John Irving,1
A Confederacy of Dunces,John Kennedy Toole,1
Appointment in Samarra,John O’Hara,1
The Grapes of Wrath,John Steinbeck,1
"Rabbit, Run",John Updike,1
Catch-22,Joseph Heller,1
them,Joyce Carol Oates,1
How the Garcia Girls Lost Their Accents,Julia Alvarez,1
The Awakening,Kate Chopin,1
Flowering Judas and Other Stories,Katherine Porter,1
One Flew Over the Cuckoo’s Nest,Ken Kesey,1
Slaughterhouse-5,Kurt Vonnegut,1
Lonesome Dove,Larry McMurtry,1
Ceremony,Leslie Marmon Silko,1
Love Medicine,Lousie Erdrich,1
Andersonville,MacKinley Kantor,1
Gone with the Wind,Margaret Mitchell,1
Housekeeping,Marilynne Robinson,1
House Made of Dawn,N. Scott Momaday,1
Day of the Locust,Nathaniel West,1
The Naked and the Dead,Norman Mailer,1
City of Glass,Paul Auster,1
The Sheltering Sky,Paul Bowles,1
"Browngirl, Brownstones",Paule Marshall,1
The Good Earth,Pearl S. Buck,1
Do Androids Dream of Electric Sheep?,Philip K. Dick,1
Good,Philip Roth,1
Invisible Man,Ralph Ellison,1
Fahrenheit 451,Ray Bradbury,1
Cathedral,Raymond Carver,1
The Big Sleep,Raymond Chandler,1
Native Son,Richard Wright,1
Revolutionary Road,Richard Yates,1
All the King’s Men,Robert Penn Warren,1
The Country of Pointed Firs,Sarah Orne Jewett,1
The Adventures of Augie March,Saul Bellow,1
"Winesburg, Ohio",Sherwood Anderson,1
The Lottery and Other Stories,Shirley Jackson,1
Main Street,Sinclair Lewis,1
"Maggie, Girl of the Streets",Stephen Crane,1
The Bell Jar,Sylvia Plath,1
An American Tragedy,Theodore Dresier,1
Gravity’s Rainbow,Thomas Pynchon,1
"Look Homeward, Angel",Thomas Wolfe,1
The Bridge of the San Luis Rey,Thornton Wilder,1
The Things They Carried,Tim O’Brien,1
Beloved,Toni Morrison,1
The Jungle,Upton Sinclair,1
Lolita,Vladimir Nabokov,1
The Moviegoer,Walker Percy,1
Angle of Repose,Wallace Stegner,1
My Antonia,Willa Cather,1
The Sound and the Fury,William Faulkner,1
JR,William Gaddis,1
Neuromancer,William Gibson,1
Naked Lunch,William S. Burroughs,1
The Confessions of Nat Turner,William Styron,1
Their Eyes Were Watching God,Zora Neale Hurston,1
