title,author,rank
And Then There Were None,Agatha Christie,1
The Count of Monte Cristo,Alexandre Dumas père,1
The Color Purple,Alice Walker,1
Dinner at the Homesick Restaurant,Anne Tyler,1
A Patchwork Planet,Anne Tyler,1
The Accidental Tourist,Anne Tyler,1
The Little Prince,Antoine de Saint-Exupéry,1
Atlas Shrugged,Ayn Rand,1
The Fountainhead,Ayn Rand,1
The Bean Trees,Barbara Kingsolver,1
Pigs in Heaven,Barbara Kingsolver,1
A Tree Grows in Brooklyn,Betty Smith,1
"The Lion, the Witch and the Wardrobe",C. S. Lewis,1
Christy,Catherine Marshall,1
David Copperfield,Charles Dickens,1
A Tale of Two Cities,Charles Dickens,1
A Christmas Carol,Charles Dickens,1
Bleak House,Charles Dickens,1
Cold Mountain,Charles Frazier,1
Jane Eyre,Charlotte Brontë,1
The Thorn Birds,Colleen McCullough,1
Lady Chatterley's Lover,D. H. Lawrence,1
Rebecca,Daphne du Maurier,1
Snow Falling on Cedars: A Novel,David Guterson,1
Outlander,Diana Gabaldon,1
Busman's Honeymoon,Dorothy L. Sayers,1
Gaudy Night,Dorothy L. Sayers,1
The Hitchhiker's Guide to the Galaxy,Douglas Adams,1
Howards End,E. M. Forster,1
A Passage to India,E. M. Forster,1
Charlotte's Web,E.B. White,1
The Age of Innocence,Edith Wharton,1
Wuthering Heights,Emily Brontë,1
The Old Man and The Sea,Ernest Hemingway,1
For Whom the Bell Tolls,Ernest Hemingway,1
The Great Gatsby,F. Scott Fitzgerald,1
Fried Green Tomatoes at the Whistle Stop Cafe,Fannie Flagg,1
The Secret Garden,Frances Hodgson Burnett,1
One Hundred Years of Solitude,Gabriel Garcia Marquez,1
To Kill a Mockingbird,Harper Lee,1
"I, Robot",Isaac Asimov,1
The Catcher in the Rye,J. D. Salinger,1
The Lord of the Rings,J. R. R. Tolkien,1
The Hobbit,J. R. R. Tolkien,1
Time and Again,Jack Finney,1
Chesapeake,James A. Michener,1
Follow the River,James Alexander Thom,1
Shogun: A Novel of Japan,James Clavell,1
Lost Horizon,James Hilton,1
Pride and Prejudice,Jane Austen,1
Emma,Jane Austen,1
Persuasion,Jane Austen,1
The Clan of the Cave Bear,Jean M. Auel,1
A Prayer for Owen Meany,John Irving,1
The World According to Garp,John Irving,1
East of Eden,John Steinbeck,1
The Grapes of Wrath,John Steinbeck,1
Of Mice and Men,John Steinbeck,1
Bridge to Terabithia,Katherine Paterson,1
The Pillars of the Earth,Ken Follett,1
The Wind in the Willows,Kenneth Grahame,1
Slaughterhouse-Five,Kurt Vonnegut,1
Anne of Green Gables,L. M. Montgomery,1
Lonesome Dove,Larry McMurtry,1
Ben-Hur: A Tale of the Christ,Lew Wallace,1
Alice's Adventures in Wonderland,Lewis Carroll,1
The Giver,Lois Lowry,1
Little Women,Louisa May Alcott,1
The Handmaid's Tale,Margaret Atwood,1
Gone With the Wind,Margaret Mitchell,1
The Mists of Avalon,Marion Zimmer Bradley,1
The Adventures of Huckleberry Finn,Mark Twain,1
Frankenstein,Mary Shelley,1
"Roll of Thunder, Hear My Cry",Mildred D. Taylor,1
The Scarlet Letter,Nathaniel Hawthorne,1
The Horse Whisperer,Nicholas Evans,1
Giants in the Earth,O. E. Rølvaag,1
Cold Sassy Tree,Olive Ann Burns,1
Ender's Game,Orson Scott Card,1
The Prince of Tides,Pat Conroy,1
Fahrenheit 451,Ray Bradbury,1
Divine Secrets of the Ya-Ya Sisterhood: A Novel,Rebecca Wells,1
How Green Was My Valley,Richard Llewellyn,1
Boy's Life,Robert McCammon,1
Tisha: The Story of a Young Teacher in the Alaska Wilderness,Robert Specht,1
The Shell Seekers,Rosamunde Pilcher,1
Kristin Lavransdatter,Sigrid Undset,1
The Stand {1978},Stephen King,1
Misery,Stephen King,1
The Once and Future King,T. H. White,1
Tess of the d'Urbervilles,Thomas Hardy,1
Jude the Obscure,Thomas Hardy,1
Schindler's List,Thomas Keneally,1
Beloved,Toni Morrison,1
Possession: A Romance by A. S.,tt,1
The Name of the Rose,Umberto Eco,1
Les Misérables,Victor Hugo,1
My Ántonia,Willa Cather,1
Sophie's Choice,William Styron,1
