Leo Tolstoy
F. Scott Fitzgerald
Jane Austen
Charles Dickens
Gabriel Garcia Marquez
Willa Cather
J.K. Rowling
John Updike
Toni Morrison
E.B. White
Virginia Woolf
William Faulkner
Harper Lee
Fyodor Dostoevsky
E.L. Doctorow
Charlotte Bronte
Cormac McCarthy
Herman Melville
Vladimir Nabokov
Larry McMurtry
Theodore Dreiser
Emily Bronte
Fyodor Dostoevsky
James Joyce
Charles Dickens
Ralph Ellison
Madeleine L’Engle
Leo Tolstoy
Margaret Atwood
Richard Wright
Jose Saramago
J.D. Salinger
Art Spiegelman
John Irving
Kenzaburo Oe
Ayn Rand
Ernest Hemingway
Pat Barker 
Jeffrey Eugenides
Vikram Seth
James Baldwin
Stephen King
John Kennedy Toole
Philip Pullman 
Alice Walker
Edith Wharton
Haruki Murakami
Patricia Highsmith
Orson Scott Card
Orhan Pamuk
Jonathan Franzen
Toni Morrison
Margaret Mitchell
Ben Fountain
Rohinton Mistry
William Styron
P.D. James
Salman Rushdie
Bram Stoker
Zora Neale Hurston
Gabriel Garcia Marquez
Mark Twain 
Philip Roth
David Foster Wallace
Saul Bellow
E.M. Forster
Michael Chabon
George Eliot
Martin Amis
William Gibson
J.R.R. Tolkien
Kazuo Ishiguro
John le Carre
Charles Frazier
Gustave Flaubert
Doris Lessing
Henry Fielding
V.S. Naipaul
Hilary Mantel
Marcel Proust
Mary Shelley
J.M. Coetzee
Carol Shields
Richard Price
James Heller
Michael Cunningham
Zadie Smith
Tom Wolfe
Laurence Sterne
Carson McCullers
Giuseppe Tomasi di Lampedusa
Hermann Hesse
Dorothy Allison
Wilkie Collins
Barbara Kingsolver
Italo Calvino
Raymond Chandler
Judy Blume
Douglas Adams
Amy Tan
